"filename", "language", "CSS", "TypeScript React", "HTML", "TypeScript", "JSON", "comment", "blank", "total"
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/__tests__/App.test.tsx", "TypeScript React", 0, 9, 0, 0, 0, 0, 2, 11
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/index.html", "HTML", 0, 0, 49, 0, 0, 8, 4, 61
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/index.tsx", "TypeScript React", 0, 42, 0, 0, 0, 26, 7, 75
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/main.dev.ts", "TypeScript", 0, 0, 0, 113, 0, 21, 21, 155
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/menu.ts", "TypeScript", 0, 0, 0, 276, 0, 0, 15, 291
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/package.json", "JSON", 0, 0, 0, 0, 18, 0, 1, 19
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/utils/components/AlertDialog.tsx", "TypeScript React", 0, 47, 0, 0, 0, 8, 4, 59
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/utils/components/KuibuAppBar.tsx", "TypeScript React", 0, 83, 0, 0, 0, 8, 4, 95
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/utils/components/KuibuTitle.tsx", "TypeScript React", 0, 19, 0, 0, 0, 8, 3, 30
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/utils/components/UserContext.tsx", "TypeScript React", 0, 57, 0, 0, 0, 11, 8, 76
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/utils/context.tsx", "TypeScript React", 0, 9, 0, 0, 0, 8, 1, 18
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/utils/globals.tsx", "TypeScript React", 0, 24, 0, 0, 0, 8, 2, 34
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/utils/mock.tsx", "TypeScript React", 0, 9, 0, 0, 0, 8, 3, 20
"Total", "-", 48, 4536, 49, 389, 18, 465, 323, 5828
